VD1,0.12172,0.01698,-0.00035
VD10,0.60452,0.01824,-0.00008
VD11,0.66198,0.01523,0.00003
VD12,0.72899,0.01151,0.00046
VD13,0.74471,0.00939,-0.00033
VD2,0.13282,0.01919,0.00004
VD3,0.21300,0.02106,-0.00019
VD4,0.26647,0.02064,-0.00079
VD5,0.32200,0.02366,-0.00079
VD6,0.38710,0.02174,-0.00043
VD7,0.43398,0.02087,0.00029
VD8,0.48526,0.01986,-0.00109
VD9,0.54558,0.02063,0.00000
